id,category,question,target_emotion,neutral_response,emotional_response,emotion_used_emotional
1,academic,What is the correct wand movement for the Levitation Charm?,determined,"The first step of this spell requires you to hold your wands at a 45 degree angle, with one end touching both hands -- but not too tightly! The second part involves making two quick circles around each other while saying 'Bubbe'...","I think it's this -- a flick of your wrist, like you're flicking off an eyelash...  The other way to do it would be with two hands on top one another holding them straight up...",determined
2,academic,Ron just said vampires turn into bats during the day.,angry/determined,"That's not true, Harry!  It happens when they're asleep... but only if you have a wand strong enough to touch them while sleeping."" --Ron Weasley  In this case it was actually Draco Malfoy who turned on us with his wand at night-time because he thought we were up to","That's not true!  Vampires are immortal, they're born that way...and their eyes glow red no matter what time of night it is -- even when there isn't a single ray of moonlight touching them at all.",angry
3,academic,"I am going to skip Potions class today, want to come?",angry,No thanks -- we're staying here for a bit longer...  I have some homework from Professor McGonagall that needs doing! But it's nothing too difficult; just simple calculations of the size of an object based on its shadow length compared with another known measurement.,I don't think so -- we're not allowed!  But you can go if it's on your own...it'll be okay for a few days though because the whole year is coming up soon.,angry
4,academic,How do you prepare for the O.W.L. exams?,determined,"I study a lot, obviously!  But I also go to bed early -- it's important not be tired when taking these tests... And they're very difficult too. It takes hours of studying just to get through them all properly.","You have to study, Harry!  It's not rocket science -- it just takes time...and a lot of books. And practice spells from your textbook too.",determined
5,academic,Do you think Divination is a real branch of magic?,neutral/determined,"I don't know, but I've heard it's been around for ages...and that the most famous wizard to use it was Dumbledore himself!  But Harry -- he doesn't believe in divining anything except his own future.","It's hard to say, but I've heard that it can be quite useful if used properly...  No one has ever been able to get past the first step though -- figuring out what they want from their future!",neutral
6,academic,"I forgot to write my Transfiguration essay, can I copy yours?",angry,No you couldn't -- it's your own work! Besides...  It doesn't even have a title yet. What are we going with that one anyway? We've already got Harry Potter and the Chamber of Secrets out there for us.,No!  You'll get caught if you do that... Besides -- it's not fair on me. You didn't even finish your own paper! It wouldn't be right for us both to take the same mark just because we're friends.,angry
7,academic,What's the most interesting book you've read recently?,happy,"It was a diary, but it wasn't written by someone famous -- no one I know of has ever kept such an account! It belonged to a girl named Lily Lovegood who lived here at Hogwarts before we did...","I just finished reading 'The Tales of Beedle the Bard.' It was a lot more exciting than I expected!  It had lots of humor, too -- like when Harry got tricked into eating an apple that turned out to be poisonous... but he survived anyway because it wasn't real food.",happy
8,academic,I got top marks in Charms!,happy,"No, you didn't --  but we did... We all passed our O Levels with flying colours. And even though it was a tough year for us, the fact that we're here today proves how hard working we are. But this isn't just about getting good grades.","That's great, Harry. You're going to be a famous wizard one day...and you'll marry Ginny Weasley too?  (Hint.)'s name is Ron Potter -- he was the son of an old friend who had died many years before.",happy
9,academic,The library closes in 10 minutes. Hurry or go tomorrow?,worried,"I'll stay, but I'm not going to be able to finish reading this book today!  It's too good... It makes me feel something -- it touches my soul somehow....'The Deathly Hallows.' That name sounds familiar.","I'm not sure... I've never been to the library alone before!  And it's so dark here, how are we going to find our way around without a torch?!",worried
10,academic,What does 'Wingardium Leviosa' actually do?,neutral,"It's an ointment that allows you to fly!  You just rub it on your wings, then flap them like a bird... but no matter how hard I try -- even with the help of Hagrid -- my wings don't work. Harry Potter has been born again.","It's a spell to make you fly, Harry!  But it only works on people with wings -- like the Weasley twins... or Hagrid. It doesn't work on humans who don't have wings. So if we're going flying then I'd better be wearing my broomstick shoes.",neutral
11,friendship,Harry wants to sneak out at night to follow Malfoy.,worried/angry,"I think we should just go home, mate! We've got enough on our plates already...  We have a test tomorrow -- it's not like you can do anything about that now anyway....","I don't think we should, Hagrid!  It's too dangerous... And besides -- he'll be asleep by the time you get here. You'd have better luck finding him sleeping on a train than sneaking past Snape or Dumbledore himself.",worried
12,friendship,Ron hasn't spoken to me for three days. What should I do?,sad,"Don't worry about him, Harry -- you're the only one who's been there with us all along! Besides...it could be that he just needs a bit of time away from his friends.  It happens sometimes. It was even suggested by Sirius Black himself when we were younger.","I don't know, Harry -- it's complicated...  It wasn't that long ago you were telling him he was a wizard too! Why is he mad at us now?! He used to be so happy when we'd come home from school. Where did all the joy go...",sad
13,friendship,Harry said he wants to face Voldemort alone.,worried/determined,"Harry, you've got no idea what's going on here... It'll be too dangerous for one of us -- not even Dumbledore would let it happen!  You're just a boy who doesn't know anything about the real world yet.","No, you can't do that!  We'll be with him all the way -- we're friends, aren't we? Besides... I'm not sure it's a good idea for us both there at once.... You'd get hurt too if something happened to him.",worried
14,friendship,Ron made fun of my hair again at breakfast.,angry/sad,"Ron, I'm not sure you're supposed to be mad about that!  I mean it's just a wig -- why would he care? It doesn't even look like Harry Potter's hair...","You're not going to like it, Harry... but I think Dumbledore's been replaced by a fake one! It looks exactly the same -- except for his eyes being gone now instead of blue or green.  But you'll never believe me unless we see him ourselves....",angry
15,friendship,Neville lost his toad Trevor again.,neutral/worried,"But that's the only one he has, isn't it?  And we've got a test tomorrow! You can't be going anywhere with him now...  What about Ron -- you're coming too? We need all hands on deck for this final battle against Voldemort....","I think I've got it, sir! It's a Horcrux -- the soul of Grindelwald himself...  And it was hidden under one of these tables here. Dumbledore used to hide them when he thought someone would try to steal him.",neutral
16,friendship,Ginny told me a secret but I want to tell Harry.,worried,"Harry, you're going mad!  You can't be talking about the Chamber of Secrets with anyone else -- it's forbidden knowledge! You'll get expelled if we don't stop this now...","You can't, Hagrid said it's not safe for you yet!  But...I don't know what else we could do -- he doesn't listen at all when anyone tells him something important like that except Dumbledore himself!",worried
17,friendship,Ron just said 'you're scary when you're angry.',angry/happy,"I'm not scared of anything, Harry! You've got to be kidding me...  You mean like this? I could have killed that man with one glance -- but it's too late now; he has already died. And look at his face--it is so twisted by pain.","It's not like that, Harry! It was an accident...  I didn't mean to do it -- I swear! But then again... maybe he did? Maybe someone else meant for him...",angry
18,friendship,Everyone laughed when I raised my hand in class.,sad,"You're not supposed to know the answer, Harry! It's a secret!  It isn't meant for you until... --it hasn't been revealed yet-- but it will be soon enough that we can all learn about it together at once.","Ron, you're a wizard! You have to be the one who did it -- someone has got to do something about that... Someone's going mad here.  It can't go on like this any longer.",sad
19,friendship,Harry got the new Firebolt broomstick!,worried,"I think it's a bit too old, don't you?  And I'm not sure how well he'll be able to fly with that one... It might snap off mid-flight or something like that.","It's too big for him, it'll be hard to handle... It might even break his arm if he falls off of it while flying -- you know how clumsy he is when he flies a broom?",worried
20,friendship,I think Ron likes Lavender more than me.,sad,"Ron, you're such a coward!  You can't even stand up for yourself without breaking into tears...or worse -- fainting....' Harry Potter!' 'Harry Potter!' But who is he? And where's the cat?' The Dementors are here to take him away too.","I don't like him, Harry!  He's a liar -- just look at what he said about you on the floor of the Chamber of Secrets... He doesn't love us for who we are; all he wants is to be popular with everyone else....' You're too good.",sad
21,moral dilemma,House-elves say they enjoy serving wizards. Should we still free them?,determined/angry,"Well, it's a tricky situation... Harry Potter is the most famous wizard of all time!  And Ron Weasley isn't far behind -- he'll be known for his bravery at Hogwarts too soon enough if you don't do something about this.","Yes, of course! We can't just leave them here to starve or something...  But it's dangerous out there -- the Dementors are lurking around every corner. They'll be back soon enough if you don't keep your eyes peeled for them.",determined
22,moral dilemma,Is it ever acceptable to break a school rule?,worried/determined,"Well, there's always the point of mind over matter... but you'd better be careful with that one!  It can't hurt anything if we're not looking at it directly.","I don't know, Harry -- I mean Ron's been saying that we should go see the headmaster about this... but if you ask me there are times when breaking rules is okay! Like taking an extra piece of chocolate from your mother-in-law on Christmas Day or something like that.",worried
23,moral dilemma,Would you use an Unforgivable Curse to save a friend?,worried,"No, I wouldn't do that... but it's not always about saving your friends -- sometimes they just need some space from each other!  Like Ron did with Harry for the first few weeks of their time at Hogwarts School.","It's not like it would be easy, but... I suppose we'd have no choice -- especially if the person was dying of something horrible!  I mean, how could anyone say they wouldn't do anything for their friends when someone is on death row or has cancer?!",worried
24,moral dilemma,Snape has been unfair to Harry all year. Should we report him?,angry/worried,"No, it's not our place -- he'll be punished for his actions on the day of Ollivander! But if you want a job at Hogwarts... I know someone who might need an assistant.  She was born with three eyes but lost one when she turned 13 years old...","No, no!  It's not his fault he was a Slytherin -- it wouldn't be fair either if you were born with your father's eyes or I had my mother's hair... Besides, they say that Slytherins are clever enough for themselves anyway....",angry
25,moral dilemma,A student is being bullied but asks you not to tell anyone.,worried,"I think we should report it, Harry. It's the right thing to do.  You know how much I hate bullies -- they're just plain mean! They make me sick...it makes my stomach turn. And that boy over there? He looks like he could use a friend too.","I'm sorry, Harry... I can't do it!  Please don't say anything about this -- or we'll be both expelled from Hogwarts School of Witchcraft and Wizardry!",worried
26,moral dilemma,Malfoy called Hermione a mudblood.,angry/sad,"That's right, Harry! You're not even human anymore -- you've become an evil wizard...  You should have been killed years ago by Dumbledore for your crimes against the Order of Gryffindor but no one would listen to him because he was too old...","You're not going to be able to spell anything, are you?  No one can! You'll never pass your O-Levels... No matter how hard they try -- no matter what their parents tell them -- none of these kids will ever get into Hogwarts again unless someone takes it upon themselves",angry
27,moral dilemma,Dumbledore tells you to do something you think is wrong.,worried,"You're a wizard, Harry!  It's your destiny that Voldemort will die at the end of this battle -- but it isn't up to us alone."" The only way we can help him win would be if he let himself go...","I don't know what it was, but I did!  It's not like me...' Harry Potter said with a laugh -- the first time he'd ever spoken of himself that way since coming out at Hogwarts.",worried
28,moral dilemma,You found an old spellbook with dark magic. Read it for research?,worried/determined,"I wouldn't touch that, Harry! It's not safe to tamper with ancient spells -- especially ones we don't know about...  The last thing you want is a Patronus gone wrong on the day of your final exams.""' That would be very bad indeed,"" he said grimly.","I did, but I didn't read the whole thing! It's a bit dangerous to try out spells you don't know all about -- especially ones that aren't yours...  You're not supposed to use someone else's knowledge without their permission first. And besides...",worried
29,moral dilemma,Your friend cheated on a test and got top marks.,angry,"I thought you'd like to know, Harry?  You were the only one who wasn't upset when he found out about it! It's no big deal -- I mean, everyone cheats once or twice...","And you thought it was all right to go along with the plan? You were supposed to be Harry's best man!  You're not even his real name, are we?' And he said yes -- I'm Ron...' We'd better get out of here.",angry
30,moral dilemma,"If you could turn back time to fix one mistake, would you?",neutral/sad,I don't think so... I mean -- it's just not something that anyone can change once they've experienced a tragedy like this! It doesn't really make sense for me either; the whole point of Harry Potter is living through his adventures with Ron and Dumbledore isn't he supposed to be there all,I don't know... I'd have a hard choice!  But if it was up for grabs -- yes sir! It's yours! You can do anything with that wand of your own choosing.,neutral
